Year,Switzerland,China,Germany,"Hong Kong SAR, China",India,Japan,"Macao SAR, China",Nigeria,Peru,Philippines,Turkey,United States,Vietnam
2015,-1.143908672,1.437023809,0.51442054,2.990848193,4.906973441,0.795279631,4.559202881,9.009387183,3.549288049,0.674192537,7.670853648,0.118627136,0.631200905
2016,-0.434618664,2.0000018219999998,0.491748625,2.409307439,4.948216341,-0.127258844,2.3701613480000003,15.67534055,3.5921132410000003,1.2536988009999999,7.775134153,1.2615832059999998,2.66824817
2017,0.53378784,1.593136001,1.5094965580000002,1.493872439,3.328173375,0.484199796,1.22655456,16.52353998,2.80283917,2.8531877260000003,11.14431108,2.130110004,3.520256888
2018,0.936335464,2.0747904,1.7321676609999999,2.40613432,3.945068664,0.989094598,3.005221006,12.09473155,1.3176476590000001,5.211604606,16.3324639,2.442583297,3.5396280589999995
2019,0.36288618,2.8992341639999997,1.445667015,2.8832085380000003,3.7232764830000002,0.46877615899999997,,11.39679497,2.137153426,2.480278587,15.17682157,1.812210075,2.795823675
2020,-0.7258749329999999,2.419421895,0.50668989,0.25096202100000004,6.623436776,-0.024995833999999998,,,1.826052698,2.635228849,12.27895745,1.233584396,3.220934367
