,Unnamed: 0,LOCATION,TIME,Germany_inflation_rate,index,time_close,ETH_closing_price,yfit,xfit
0,0.0,DEU,2016-10-01,0.7968128000000001,0.0,2016-10-31 00:00:00+00:00,9.9355,,
1,1.0,DEU,2016-11-01,0.8024071999999999,1.0,2016-11-30 00:00:00+00:00,7.975550000000001,,
2,2.0,DEU,2016-12-01,1.504514,2.0,2016-12-31 00:00:00+00:00,6.7098933333333335,,
3,3.0,DEU,2017-01-01,1.616162,3.0,2017-01-31 00:00:00+00:00,8.442843333333334,,
4,4.0,DEU,2017-02-01,1.913394,4.0,2017-02-28 00:00:00+00:00,10.676926666666667,,
5,5.0,DEU,2017-03-01,1.4,5.0,2017-03-31 00:00:00+00:00,29.256236666666666,,
6,6.0,DEU,2017-04-01,1.698302,6.0,2017-04-30 00:00:00+00:00,43.29828666666666,,
7,7.0,DEU,2017-05-01,1.192843,7.0,2017-05-31 00:00:00+00:00,91.30842333333334,,
8,8.0,DEU,2017-06-01,1.390268,8.0,2017-06-30 00:00:00+00:00,234.96738,,
9,9.0,DEU,2017-07-01,1.384768,9.0,2017-07-31 00:00:00+00:00,163.49625333333333,,
10,10.0,DEU,2017-08-01,1.584158,10.0,2017-08-31 00:00:00+00:00,227.66631,,
11,11.0,DEU,2017-09-01,1.683168,11.0,2017-09-30 00:00:00+00:00,207.005,,
12,12.0,DEU,2017-10-01,1.284585,12.0,2017-10-31 00:00:00+00:00,222.31,,
13,13.0,DEU,2017-11-01,1.59204,13.0,2017-11-30 00:00:00+00:00,230.16333333333333,,
14,14.0,DEU,2017-12-01,1.383399,14.0,2017-12-31 00:00:00+00:00,386.3966666666667,,
15,15.0,DEU,2018-01-01,1.39165,15.0,2018-01-31 00:00:00+00:00,662.9466666666667,,
16,16.0,DEU,2018-02-01,1.086957,16.0,2018-02-28 00:00:00+00:00,545.8333333333334,,
17,17.0,DEU,2018-03-01,1.47929,17.0,2018-03-31 00:00:00+00:00,460.3433333333333,,
18,18.0,DEU,2018-04-01,1.277014,18.0,2018-04-30 00:00:00+00:00,360.1166666666666,,
19,19.0,DEU,2018-05-01,2.062868,19.0,2018-05-31 00:00:00+00:00,507.7866666666667,,
20,20.0,DEU,2018-06-01,1.860921,20.0,2018-06-30 00:00:00+00:00,392.6,,
21,21.0,DEU,2018-07-01,1.853659,21.0,2018-07-31 00:00:00+00:00,346.5,,
22,22.0,DEU,2018-08-01,1.851852,22.0,2018-08-31 00:00:00+00:00,254.245,,
23,23.0,DEU,2018-09-01,1.94742,23.0,2018-09-30 00:00:00+00:00,166.27666666666667,,
24,24.0,DEU,2018-10-01,2.341463,24.0,2018-10-31 00:00:00+00:00,161.92333333333337,,
