,0,1
0,2021-08-15,4
1,2021-08-23,4
2,2021-08-28,2
3,2021-09-11,0
4,2021-09-19,1
5,2021-09-25,2
6,2021-10-03,1
7,2021-10-17,1
8,2021-10-24,1
9,2021-10-31,4
10,2021-11-07,3
