,Unnamed: 0,LOCATION,TIME,Japan_inflation_rate,index,time_close,ETH_closing_price,yfit,xfit
61,61.0,JPN,2021-10-01,0.1,61.0,2021-11-30 00:00:00+00:00,3360.0066666666667,,
0,,,,,,,,0.39190193386451777,6.7098933333333335
1,,,,,,,,0.39190193386451777,10.066546760093427
2,,,,,,,,0.39190193386451777,13.42320018685352
3,,,,,,,,0.39190193386451777,16.779853613613614
4,,,,,,,,0.39190193386451777,20.136507040373708
5,,,,,,,,0.39190193386451777,23.4931604671338
6,,,,,,,,0.39190193386451777,26.849813893893895
7,,,,,,,,0.39190193386451777,30.20646732065399
8,,,,,,,,0.39190193386451777,33.56312074741408
9,,,,,,,,0.39190193386451777,36.91977417417418
10,,,,,,,,0.39190193386451777,40.27642760093427
11,,,,,,,,0.3919019338645177,43.63308102769437
12,,,,,,,,0.3919019338645177,46.98973445445446
13,,,,,,,,0.3919019338645176,50.34638788121455
14,,,,,,,,0.3919019338645175,53.703041307974644
15,,,,,,,,0.3919019338645172,57.05969473473474
16,,,,,,,,0.3919019338645167,60.41634816149483
17,,,,,,,,0.3919019338645159,63.77300158825492
18,,,,,,,,0.39190193386451444,67.12965501501502
19,,,,,,,,0.3919019338645121,70.48630844177512
20,,,,,,,,0.3919019338645084,73.84296186853521
21,,,,,,,,0.3919019338645025,77.1996152952953
22,,,,,,,,0.3919019338644935,80.55626872205539
23,,,,,,,,0.39190193386447986,83.91292214881548
24,,,,,,,,0.3919019338644596,87.26957557557557
25,,,,,,,,0.39190193386443,90.62622900233566
26,,,,,,,,0.3919019338643873,93.98288242909575
27,,,,,,,,0.3919019338643266,97.33953585585587
28,,,,,,,,0.3919019338642412,100.69618928261596
29,,,,,,,,0.39190193386412253,104.05284270937605
30,,,,,,,,0.3919019338639594,107.40949613613614
31,,,,,,,,0.39190193386373734,110.76614956289623
32,,,,,,,,0.39190193386343797,114.12280298965632
33,,,,,,,,0.39190193386303795,117.47945641641641
34,,,,,,,,0.3919019338625078,120.8361098431765
35,,,,,,,,0.39190193386181094,124.19276326993662
36,,,,,,,,0.3919019338609016,127.54941669669671
37,,,,,,,,0.3919019338597235,130.9060701234568
38,,,,,,,,0.39190193385820743,134.2627235502169
39,,,,,,,,0.39190193385626887,137.61937697697698
40,,,,,,,,0.39190193385380523,140.97603040373707
41,,,,,,,,0.39190193385069233,144.33268383049716
42,,,,,,,,0.3919019338467808,147.68933725725725
43,,,,,,,,0.39190193384189176,151.04599068401734
44,,,,,,,,0.39190193383581157,154.40264411077746
45,,,,,,,,0.3919019338282866,157.75929753753755
46,,,,,,,,0.3919019338190164,161.11595096429764
47,,,,,,,,0.3919019338076469,164.47260439105773
48,,,,,,,,0.39190193379376176,167.82925781781782
49,,,,,,,,0.39190193377687355,171.1859112445779
50,,,,,,,,0.39190193375641325,174.542564671338
51,,,,,,,,0.3919019337317186,177.8992180980981
52,,,,,,,,0.3919019337020214,181.25587152485818
53,,,,,,,,0.39190193366643294,184.6125249516183
54,,,,,,,,0.3919019336239281,187.9691783783784
55,,,,,,,,0.3919019335733274,191.32583180513848
56,,,,,,,,0.3919019335132775,194.68248523189857
57,,,,,,,,0.3919019334422295,198.03913865865866
58,,,,,,,,0.3919019333584147,201.39579208541875
59,,,,,,,,0.39190193325981837,204.75244551217884
60,,,,,,,,0.39190193314415067,208.10909893893896
61,,,,,,,,0.39190193300881476,211.46575236569905
62,,,,,,,,0.3919019328508719,214.82240579245914
63,,,,,,,,0.3919019326670033,218.17905921921923
64,,,,,,,,0.3919019324534683,221.53571264597932
65,,,,,,,,0.3919019322060592,224.8923660727394
66,,,,,,,,0.39190193192005124,228.2490194994995
67,,,,,,,,0.39190193159014924,231.6056729262596
68,,,,,,,,0.39190193121042904,234.96232635301968
69,,,,,,,,0.3919019307742739,238.3189797797798
70,,,,,,,,0.39190193027430603,241.67563320653989
71,,,,,,,,0.3919019297023126,245.03228663329998
72,,,,,,,,0.391901929049165,248.38894006006007
73,,,,,,,,0.39190192830473275,251.74559348682016
74,,,,,,,,0.3919019274577902,255.10224691358025
75,,,,,,,,0.39190192649591593,258.45890034034034
76,,,,,,,,0.3919019254053851,261.8155537671005
77,,,,,,,,0.39190192417105335,265.1722071938606
78,,,,,,,,0.39190192277623237,268.52886062062066
79,,,,,,,,0.39190192120255657,271.88551404738075
80,,,,,,,,0.3919019194298405,275.24216747414084
81,,,,,,,,0.3919019174359257,278.59882090090093
82,,,,,,,,0.3919019151965177,281.955474327661
83,,,,,,,,0.3919019126850114,285.3121277544211
84,,,,,,,,0.3919019098723054,288.6687811811812
85,,,,,,,,0.39190190672660336,292.0254346079413
86,,,,,,,,0.3919019032132031,295.3820880347014
87,,,,,,,,0.3919018992942717,298.7387414614615
88,,,,,,,,0.39190189492860666,302.0953948882216
89,,,,,,,,0.391901890071382,305.4520483149817
90,,,,,,,,0.3919018846738789,308.8087017417418
91,,,,,,,,0.39190187868319987,312.1653551685019
92,,,,,,,,0.39190187204196586,315.522008595262
93,,,,,,,,0.39190186468799537,318.87866202202207
94,,,,,,,,0.39190185655396476,322.23531544878216
95,,,,,,,,0.3919018475670495,325.59196887554225
96,,,,,,,,0.391901837648544,328.94862230230234
97,,,,,,,,0.3919018267134614,332.30527572906243
98,,,,,,,,0.39190181467011004,335.6619291558225
99,,,,,,,,0.3919018014196472,339.0185825825826
100,,,,,,,,0.3919017868556089,342.3752360093427
101,,,,,,,,0.3919017708634142,345.7318894361028
102,,,,,,,,0.3919017533198435,349.0885428628629
103,,,,,,,,0.3919017340924898,352.44519628962297
104,,,,,,,,0.39190171303918137,355.80184971638306
105,,,,,,,,0.39190169000737524,359.1585031431432
106,,,,,,,,0.39190166483352035,362.5151565699033
107,,,,,,,,0.39190163734238875,365.8718099966634
108,,,,,,,,0.3919016073463741,369.2284634234235
109,,,,,,,,0.391901574644756,372.58511685018357
110,,,,,,,,0.39190153902292935,375.94177027694366
111,,,,,,,,0.3919015002515969,379.29842370370375
112,,,,,,,,0.3919014580859239,382.65507713046384
113,,,,,,,,0.39190141226465375,386.0117305572239
114,,,,,,,,0.39190136250918306,389.368383983984
115,,,,,,,,0.39190130852259475,392.7250374107441
116,,,,,,,,0.39190124998864795,396.0816908375042
117,,,,,,,,0.39190118657072304,399.4383442642643
118,,,,,,,,0.39190111791072063,402.7949976910244
119,,,,,,,,0.3919010436279125,406.15165111778447
120,,,,,,,,0.39190096331774393,409.5083045445446
121,,,,,,,,0.3919008765505845,412.8649579713047
122,,,,,,,,0.3919007828704269,416.2216113980648
123,,,,,,,,0.3919006817935323,419.5782648248249
124,,,,,,,,0.3919005728070191,422.934918251585
125,,,,,,,,0.39190045536739515,426.29157167834506
126,,,,,,,,0.3919003288990308,429.64822510510515
127,,,,,,,,0.39190019279257154,433.00487853186524
128,,,,,,,,0.3919000464032879,436.36153195862533
129,,,,,,,,0.39189988904936146,439.7181853853854
130,,,,,,,,0.3918997200101048,443.0748388121455
131,,,,,,,,0.39189953852411374,446.4314922389056
132,,,,,,,,0.3918993437873501,449.7881456656657
133,,,,,,,,0.39189913495115253,453.1447990924258
134,,,,,,,,0.39189891112017466,456.5014525191859
135,,,,,,,,0.3918986713502475,459.85810594594597
136,,,,,,,,0.39189841464616454,463.21475937270606
137,,,,,,,,0.3918981399593882,466.5714127994662
138,,,,,,,,0.3918978461856745,469.9280662262263
139,,,,,,,,0.39189753216261497,473.2847196529864
140,,,,,,,,0.39189719666709294,476.6413730797465
141,,,,,,,,0.39189683841265316,479.99802650650656
142,,,,,,,,0.39189645604678147,483.35467993326665
143,,,,,,,,0.39189604814809337,486.71133336002674
144,,,,,,,,0.391895613223429,490.06798678678683
145,,,,,,,,0.3918951497048521,493.4246402135469
146,,,,,,,,0.3918946559465521,496.781293640307
147,,,,,,,,0.3918941302216447,500.1379470670671
148,,,,,,,,0.3918935707188719,503.4946004938272
149,,,,,,,,0.39189297553919605,506.8512539205873
150,,,,,,,,0.39189234269228895,510.2079073473474
151,,,,,,,,0.39189167009291054,513.5645607741075
152,,,,,,,,0.3918909555571776,516.9212142008676
153,,,,,,,,0.3918901967987189,520.2778676276276
154,,,,,,,,0.39188939142471413,523.6345210543877
155,,,,,,,,0.3918885369318158,526.9911744811478
156,,,,,,,,0.3918876307019505,530.3478279079079
157,,,,,,,,0.3918866699979978,533.704481334668
158,,,,,,,,0.39188565195934444,537.0611347614281
159,,,,,,,,0.3918845735973111,540.4177881881882
160,,,,,,,,0.3918834317904504,543.7744416149483
161,,,,,,,,0.39188222327971245,547.1310950417084
162,,,,,,,,0.3918809446634771,550.4877484684685
163,,,,,,,,0.39187959239244896,553.8444018952285
164,,,,,,,,0.39187816276441456,557.2010553219886
165,,,,,,,,0.3918766519188578,560.5577087487487
166,,,,,,,,0.39187505583143234,563.9143621755088
167,,,,,,,,0.39187337030828834,567.2710156022689
168,,,,,,,,0.391871590980251,570.627669029029
169,,,,,,,,0.39186971329684867,573.9843224557891
170,,,,,,,,0.3918677325201887,577.3409758825492
171,,,,,,,,0.3918656437186779,580.6976293093093
172,,,,,,,,0.39186344176058596,584.0542827360694
173,,,,,,,,0.3918611213074493,587.4109361628294
