,Unnamed: 0,LOCATION,TIME,unemployment_rate,index,time_close,closing_price,yfit,xfit,Regression
56,56,DEU,01/05/2021,3.6,56,2021-06-30 00:00:00+00:00,1643.586667,,,Germany-Ethereum
57,57,DEU,01/06/2021,3.5,57,2021-07-31 00:00:00+00:00,1519.46,,,Germany-Ethereum
58,58,DEU,01/07/2021,3.4,58,2021-08-31 00:00:00+00:00,2253.796667,,,Germany-Ethereum
59,59,DEU,01/08/2021,3.4,59,2021-09-30 00:00:00+00:00,2480.56,,,Germany-Ethereum
60,60,DEU,01/09/2021,3.3,60,2021-10-31 00:00:00+00:00,2729.053333,,,Germany-Ethereum
61,61,DEU,01/10/2021,3.3,61,2021-11-30 00:00:00+00:00,3360.006667,,,Germany-Ethereum
0,,,,,,,,3.604020666,6.709893333,Germany-Ethereum
1,,,,,,,,3.602472534,10.06654676,Germany-Ethereum
2,,,,,,,,3.600952592,13.42320019,Germany-Ethereum
3,,,,,,,,3.599460671,16.77985361,Germany-Ethereum
4,,,,,,,,3.597996601,20.13650704,Germany-Ethereum
5,,,,,,,,3.596560214,23.49316047,Germany-Ethereum
6,,,,,,,,3.595151341,26.84981389,Germany-Ethereum
7,,,,,,,,3.593769813,30.20646732,Germany-Ethereum
8,,,,,,,,3.592415464,33.56312075,Germany-Ethereum
9,,,,,,,,3.591088125,36.91977417,Germany-Ethereum
10,,,,,,,,3.589787629,40.2764276,Germany-Ethereum
11,,,,,,,,3.58851381,43.63308103,Germany-Ethereum
12,,,,,,,,3.587266501,46.98973445,Germany-Ethereum
13,,,,,,,,3.586045537,50.34638788,Germany-Ethereum
14,,,,,,,,3.584850751,53.70304131,Germany-Ethereum
15,,,,,,,,3.583681979,57.05969473,Germany-Ethereum
16,,,,,,,,3.582539056,60.41634816,Germany-Ethereum
17,,,,,,,,3.581421816,63.77300159,Germany-Ethereum
18,,,,,,,,3.580330097,67.12965502,Germany-Ethereum
19,,,,,,,,3.579263734,70.48630844,Germany-Ethereum
20,,,,,,,,3.578222565,73.84296187,Germany-Ethereum
21,,,,,,,,3.577206425,77.1996153,Germany-Ethereum
22,,,,,,,,3.576215152,80.55626872,Germany-Ethereum
23,,,,,,,,3.575248585,83.91292215,Germany-Ethereum
24,,,,,,,,3.57430656,87.26957558,Germany-Ethereum
25,,,,,,,,3.573388918,90.626229,Germany-Ethereum
26,,,,,,,,3.572495496,93.98288243,Germany-Ethereum
27,,,,,,,,3.571626134,97.33953586,Germany-Ethereum
28,,,,,,,,3.570780671,100.6961893,Germany-Ethereum
29,,,,,,,,3.569958947,104.0528427,Germany-Ethereum
30,,,,,,,,3.569160804,107.4094961,Germany-Ethereum
31,,,,,,,,3.568386081,110.7661496,Germany-Ethereum
32,,,,,,,,3.567634619,114.122803,Germany-Ethereum
33,,,,,,,,3.56690626,117.4794564,Germany-Ethereum
34,,,,,,,,3.566200846,120.8361098,Germany-Ethereum
35,,,,,,,,3.56551822,124.1927633,Germany-Ethereum
36,,,,,,,,3.564858223,127.5494167,Germany-Ethereum
37,,,,,,,,3.564220698,130.9060701,Germany-Ethereum
38,,,,,,,,3.56360549,134.2627236,Germany-Ethereum
39,,,,,,,,3.563012441,137.619377,Germany-Ethereum
40,,,,,,,,3.562441395,140.9760304,Germany-Ethereum
41,,,,,,,,3.561892198,144.3326838,Germany-Ethereum
42,,,,,,,,3.561364694,147.6893373,Germany-Ethereum
43,,,,,,,,3.560858728,151.0459907,Germany-Ethereum
44,,,,,,,,3.560374146,154.4026441,Germany-Ethereum
45,,,,,,,,3.559910793,157.7592975,Germany-Ethereum
46,,,,,,,,3.559468516,161.115951,Germany-Ethereum
47,,,,,,,,3.559047162,164.4726044,Germany-Ethereum
48,,,,,,,,3.558646577,167.8292578,Germany-Ethereum
49,,,,,,,,3.558266609,171.1859112,Germany-Ethereum
50,,,,,,,,3.557907106,174.5425647,Germany-Ethereum
51,,,,,,,,3.557567916,177.8992181,Germany-Ethereum
52,,,,,,,,3.557248888,181.2558715,Germany-Ethereum
53,,,,,,,,3.55694987,184.612525,Germany-Ethereum
54,,,,,,,,3.556670712,187.9691784,Germany-Ethereum
55,,,,,,,,3.556411262,191.3258318,Germany-Ethereum
56,,,,,,,,3.556171373,194.6824852,Germany-Ethereum
57,,,,,,,,3.555950893,198.0391387,Germany-Ethereum
58,,,,,,,,3.555749673,201.3957921,Germany-Ethereum
59,,,,,,,,3.555567566,204.7524455,Germany-Ethereum
60,,,,,,,,3.555404421,208.1090989,Germany-Ethereum
61,,,,,,,,3.555260091,211.4657524,Germany-Ethereum
62,,,,,,,,3.555134429,214.8224058,Germany-Ethereum
63,,,,,,,,3.555027286,218.1790592,Germany-Ethereum
64,,,,,,,,3.554938516,221.5357126,Germany-Ethereum
65,,,,,,,,3.554867973,224.8923661,Germany-Ethereum
66,,,,,,,,3.554815509,228.2490195,Germany-Ethereum
67,,,,,,,,3.55478098,231.6056729,Germany-Ethereum
68,,,,,,,,3.554764239,234.9623264,Germany-Ethereum
69,,,,,,,,3.554765141,238.3189798,Germany-Ethereum
70,,,,,,,,3.554783542,241.6756332,Germany-Ethereum
71,,,,,,,,3.554819297,245.0322866,Germany-Ethereum
72,,,,,,,,3.554872263,248.3889401,Germany-Ethereum
73,,,,,,,,3.554942294,251.7455935,Germany-Ethereum
74,,,,,,,,3.55502925,255.1022469,Germany-Ethereum
75,,,,,,,,3.555132985,258.4589003,Germany-Ethereum
76,,,,,,,,3.555253358,261.8155538,Germany-Ethereum
77,,,,,,,,3.555390227,265.1722072,Germany-Ethereum
78,,,,,,,,3.555543449,268.5288606,Germany-Ethereum
79,,,,,,,,3.555712884,271.885514,Germany-Ethereum
80,,,,,,,,3.55589839,275.2421675,Germany-Ethereum
81,,,,,,,,3.556099827,278.5988209,Germany-Ethereum
82,,,,,,,,3.556317054,281.9554743,Germany-Ethereum
83,,,,,,,,3.556549931,285.3121278,Germany-Ethereum
84,,,,,,,,3.556798319,288.6687812,Germany-Ethereum
85,,,,,,,,3.557062079,292.0254346,Germany-Ethereum
86,,,,,,,,3.557341071,295.382088,Germany-Ethereum
87,,,,,,,,3.557635158,298.7387415,Germany-Ethereum
88,,,,,,,,3.5579442,302.0953949,Germany-Ethereum
89,,,,,,,,3.558268062,305.4520483,Germany-Ethereum
90,,,,,,,,3.558606604,308.8087017,Germany-Ethereum
91,,,,,,,,3.558959691,312.1653552,Germany-Ethereum
92,,,,,,,,3.559327185,315.5220086,Germany-Ethereum
93,,,,,,,,3.55970895,318.878662,Germany-Ethereum
94,,,,,,,,3.560104851,322.2353154,Germany-Ethereum
95,,,,,,,,3.560514752,325.5919689,Germany-Ethereum
96,,,,,,,,3.560938518,328.9486223,Germany-Ethereum
97,,,,,,,,3.561376013,332.3052757,Germany-Ethereum
98,,,,,,,,3.561827105,335.6619292,Germany-Ethereum
99,,,,,,,,3.562291659,339.0185826,Germany-Ethereum
100,,,,,,,,3.56276954,342.375236,Germany-Ethereum
101,,,,,,,,3.563260617,345.7318894,Germany-Ethereum
102,,,,,,,,3.563764755,349.0885429,Germany-Ethereum
103,,,,,,,,3.564281823,352.4451963,Germany-Ethereum
104,,,,,,,,3.564811689,355.8018497,Germany-Ethereum
105,,,,,,,,3.56535422,359.1585031,Germany-Ethereum
106,,,,,,,,3.565909285,362.5151566,Germany-Ethereum
107,,,,,,,,3.566476753,365.87181,Germany-Ethereum
108,,,,,,,,3.567056494,369.2284634,Germany-Ethereum
109,,,,,,,,3.567648377,372.5851169,Germany-Ethereum
110,,,,,,,,3.568252273,375.9417703,Germany-Ethereum
111,,,,,,,,3.568868051,379.2984237,Germany-Ethereum
112,,,,,,,,3.569495583,382.6550771,Germany-Ethereum
113,,,,,,,,3.57013474,386.0117306,Germany-Ethereum
114,,,,,,,,3.570785394,389.368384,Germany-Ethereum
115,,,,,,,,3.571447415,392.7250374,Germany-Ethereum
116,,,,,,,,3.572120678,396.0816908,Germany-Ethereum
117,,,,,,,,3.572805054,399.4383443,Germany-Ethereum
118,,,,,,,,3.573500416,402.7949977,Germany-Ethereum
119,,,,,,,,3.574206638,406.1516511,Germany-Ethereum
120,,,,,,,,3.574923595,409.5083045,Germany-Ethereum
121,,,,,,,,3.575651159,412.864958,Germany-Ethereum
122,,,,,,,,3.576389205,416.2216114,Germany-Ethereum
123,,,,,,,,3.577137609,419.5782648,Germany-Ethereum
124,,,,,,,,3.577896246,422.9349183,Germany-Ethereum
125,,,,,,,,3.578664991,426.2915717,Germany-Ethereum
126,,,,,,,,3.57944372,429.6482251,Germany-Ethereum
127,,,,,,,,3.58023231,433.0048785,Germany-Ethereum
128,,,,,,,,3.581030638,436.361532,Germany-Ethereum
129,,,,,,,,3.581838581,439.7181854,Germany-Ethereum
130,,,,,,,,3.582656016,443.0748388,Germany-Ethereum
131,,,,,,,,3.583482821,446.4314922,Germany-Ethereum
132,,,,,,,,3.584318875,449.7881457,Germany-Ethereum
133,,,,,,,,3.585164055,453.1447991,Germany-Ethereum
134,,,,,,,,3.586018242,456.5014525,Germany-Ethereum
135,,,,,,,,3.586881315,459.8581059,Germany-Ethereum
136,,,,,,,,3.587753152,463.2147594,Germany-Ethereum
137,,,,,,,,3.588633636,466.5714128,Germany-Ethereum
138,,,,,,,,3.589522645,469.9280662,Germany-Ethereum
139,,,,,,,,3.590420061,473.2847197,Germany-Ethereum
140,,,,,,,,3.591325765,476.6413731,Germany-Ethereum
141,,,,,,,,3.592239638,479.9980265,Germany-Ethereum
142,,,,,,,,3.593161564,483.3546799,Germany-Ethereum
143,,,,,,,,3.594091423,486.7113334,Germany-Ethereum
144,,,,,,,,3.595029099,490.0679868,Germany-Ethereum
145,,,,,,,,3.595974475,493.4246402,Germany-Ethereum
146,,,,,,,,3.596927434,496.7812936,Germany-Ethereum
147,,,,,,,,3.597887861,500.1379471,Germany-Ethereum
148,,,,,,,,3.598855639,503.4946005,Germany-Ethereum
149,,,,,,,,3.599830653,506.8512539,Germany-Ethereum
150,,,,,,,,3.600812787,510.2079073,Germany-Ethereum
151,,,,,,,,3.601801929,513.5645608,Germany-Ethereum
152,,,,,,,,3.602797962,516.9212142,Germany-Ethereum
153,,,,,,,,3.603800773,520.2778676,Germany-Ethereum
154,,,,,,,,3.604810249,523.6345211,Germany-Ethereum
155,,,,,,,,3.605826276,526.9911745,Germany-Ethereum
156,,,,,,,,3.606848742,530.3478279,Germany-Ethereum
157,,,,,,,,3.607877534,533.7044813,Germany-Ethereum
158,,,,,,,,3.60891254,537.0611348,Germany-Ethereum
159,,,,,,,,3.609953649,540.4177882,Germany-Ethereum
160,,,,,,,,3.611000749,543.7744416,Germany-Ethereum
161,,,,,,,,3.612053728,547.131095,Germany-Ethereum
162,,,,,,,,3.613112478,550.4877485,Germany-Ethereum
163,,,,,,,,3.614176886,553.8444019,Germany-Ethereum
164,,,,,,,,3.615246844,557.2010553,Germany-Ethereum
165,,,,,,,,3.616322243,560.5577087,Germany-Ethereum
166,,,,,,,,3.617402972,563.9143622,Germany-Ethereum
167,,,,,,,,3.618488923,567.2710156,Germany-Ethereum
168,,,,,,,,3.619579989,570.627669,Germany-Ethereum
169,,,,,,,,3.62067606,573.9843225,Germany-Ethereum
170,,,,,,,,3.62177703,577.3409759,Germany-Ethereum
171,,,,,,,,3.622882791,580.6976293,Germany-Ethereum
172,,,,,,,,3.623993236,584.0542827,Germany-Ethereum
173,,,,,,,,3.625108259,587.4109362,Germany-Ethereum
174,,,,,,,,3.626227754,590.7675896,Germany-Ethereum
175,,,,,,,,3.627351614,594.124243,Germany-Ethereum
176,,,,,,,,3.628479736,597.4808964,Germany-Ethereum
177,,,,,,,,3.629612012,600.8375499,Germany-Ethereum
178,,,,,,,,3.63074834,604.1942033,Germany-Ethereum
179,,,,,,,,3.631888615,607.5508567,Germany-Ethereum
180,,,,,,,,3.633032732,610.9075102,Germany-Ethereum
181,,,,,,,,3.634180589,614.2641636,Germany-Ethereum
182,,,,,,,,3.635332081,617.620817,Germany-Ethereum
183,,,,,,,,3.636487108,620.9774704,Germany-Ethereum
184,,,,,,,,3.637645565,624.3341239,Germany-Ethereum
185,,,,,,,,3.638807351,627.6907773,Germany-Ethereum
186,,,,,,,,3.639972365,631.0474307,Germany-Ethereum
187,,,,,,,,3.641140504,634.4040841,Germany-Ethereum
188,,,,,,,,3.642311669,637.7607376,Germany-Ethereum
189,,,,,,,,3.643485759,641.117391,Germany-Ethereum
190,,,,,,,,3.644662673,644.4740444,Germany-Ethereum
191,,,,,,,,3.645842311,647.8306978,Germany-Ethereum
192,,,,,,,,3.647024575,651.1873513,Germany-Ethereum
193,,,,,,,,3.648209365,654.5440047,Germany-Ethereum
194,,,,,,,,3.649396583,657.9006581,Germany-Ethereum
195,,,,,,,,3.65058613,661.2573116,Germany-Ethereum
196,,,,,,,,3.651777908,664.613965,Germany-Ethereum
197,,,,,,,,3.65297182,667.9706184,Germany-Ethereum
198,,,,,,,,3.654167768,671.3272718,Germany-Ethereum
199,,,,,,,,3.655365656,674.6839253,Germany-Ethereum
200,,,,,,,,3.656565388,678.0405787,Germany-Ethereum
201,,,,,,,,3.657766867,681.3972321,Germany-Ethereum
202,,,,,,,,3.658969997,684.7538855,Germany-Ethereum
203,,,,,,,,3.660174683,688.110539,Germany-Ethereum
204,,,,,,,,3.661380831,691.4671924,Germany-Ethereum
205,,,,,,,,3.662588345,694.8238458,Germany-Ethereum
206,,,,,,,,3.663797132,698.1804992,Germany-Ethereum
207,,,,,,,,3.665007097,701.5371527,Germany-Ethereum
208,,,,,,,,3.666218148,704.8938061,Germany-Ethereum
209,,,,,,,,3.66743019,708.2504595,Germany-Ethereum
210,,,,,,,,3.668643132,711.607113,Germany-Ethereum
211,,,,,,,,3.66985688,714.9637664,Germany-Ethereum
212,,,,,,,,3.671071344,718.3204198,Germany-Ethereum
213,,,,,,,,3.672286431,721.6770732,Germany-Ethereum
214,,,,,,,,3.67350205,725.0337267,Germany-Ethereum
215,,,,,,,,3.67471811,728.3903801,Germany-Ethereum
216,,,,,,,,3.675934521,731.7470335,Germany-Ethereum
217,,,,,,,,3.677151193,735.1036869,Germany-Ethereum
218,,,,,,,,3.678368036,738.4603404,Germany-Ethereum
219,,,,,,,,3.67958496,741.8169938,Germany-Ethereum
220,,,,,,,,3.680801876,745.1736472,Germany-Ethereum
221,,,,,,,,3.682018696,748.5303006,Germany-Ethereum
222,,,,,,,,3.683235332,751.8869541,Germany-Ethereum
223,,,,,,,,3.684451696,755.2436075,Germany-Ethereum
224,,,,,,,,3.6856677,758.6002609,Germany-Ethereum
225,,,,,,,,3.686883256,761.9569144,Germany-Ethereum
226,,,,,,,,3.688098279,765.3135678,Germany-Ethereum
227,,,,,,,,3.689312682,768.6702212,Germany-Ethereum
228,,,,,,,,3.690526379,772.0268746,Germany-Ethereum
229,,,,,,,,3.691739283,775.3835281,Germany-Ethereum
230,,,,,,,,3.692951311,778.7401815,Germany-Ethereum
231,,,,,,,,3.694162376,782.0968349,Germany-Ethereum
232,,,,,,,,3.695372395,785.4534883,Germany-Ethereum
233,,,,,,,,3.696581283,788.8101418,Germany-Ethereum
234,,,,,,,,3.697788957,792.1667952,Germany-Ethereum
235,,,,,,,,3.698995332,795.5234486,Germany-Ethereum
236,,,,,,,,3.700200326,798.880102,Germany-Ethereum
237,,,,,,,,3.701403857,802.2367555,Germany-Ethereum
238,,,,,,,,3.702605841,805.5934089,Germany-Ethereum
239,,,,,,,,3.703806197,808.9500623,Germany-Ethereum
240,,,,,,,,3.705004844,812.3067158,Germany-Ethereum
241,,,,,,,,3.7062017,815.6633692,Germany-Ethereum
242,,,,,,,,3.707396684,819.0200226,Germany-Ethereum
243,,,,,,,,3.708589716,822.376676,Germany-Ethereum
244,,,,,,,,3.709780716,825.7333295,Germany-Ethereum
245,,,,,,,,3.710969604,829.0899829,Germany-Ethereum
246,,,,,,,,3.712156301,832.4466363,Germany-Ethereum
247,,,,,,,,3.713340727,835.8032897,Germany-Ethereum
248,,,,,,,,3.714522805,839.1599432,Germany-Ethereum
249,,,,,,,,3.715702456,842.5165966,Germany-Ethereum
250,,,,,,,,3.716879601,845.87325,Germany-Ethereum
251,,,,,,,,3.718054165,849.2299035,Germany-Ethereum
252,,,,,,,,3.719226068,852.5865569,Germany-Ethereum
253,,,,,,,,3.720395236,855.9432103,Germany-Ethereum
254,,,,,,,,3.721561591,859.2998637,Germany-Ethereum
255,,,,,,,,3.722725057,862.6565172,Germany-Ethereum
256,,,,,,,,3.72388556,866.0131706,Germany-Ethereum
257,,,,,,,,3.725043022,869.369824,Germany-Ethereum
258,,,,,,,,3.726197371,872.7264774,Germany-Ethereum
259,,,,,,,,3.72734853,876.0831309,Germany-Ethereum
260,,,,,,,,3.728496426,879.4397843,Germany-Ethereum
261,,,,,,,,3.729640986,882.7964377,Germany-Ethereum
262,,,,,,,,3.730782136,886.1530911,Germany-Ethereum
263,,,,,,,,3.731919802,889.5097446,Germany-Ethereum
264,,,,,,,,3.733053912,892.866398,Germany-Ethereum
265,,,,,,,,3.734184395,896.2230514,Germany-Ethereum
266,,,,,,,,3.735311177,899.5797049,Germany-Ethereum
267,,,,,,,,3.736434188,902.9363583,Germany-Ethereum
268,,,,,,,,3.737553356,906.2930117,Germany-Ethereum
269,,,,,,,,3.73866861,909.6496651,Germany-Ethereum
270,,,,,,,,3.739779881,913.0063186,Germany-Ethereum
