,TIME,Variable,Score
189,2018-02-01,USA_inflation_Z,-0.0673799265801468
190,2018-02-01,Bitcoin_price_Z,0.039175258139079995
191,2018-02-01,Ethereum_price_Z,0.3996516088855319
198,2018-03-01,Germany_inflation_Z,-0.055842054925224816
199,2018-03-01,Japan_inflation_Z,1.3048650017042656
200,2018-03-01,Turkey_inflation_Z,-0.9457376691818111
201,2018-03-01,USA_inflation_Z,0.05219852789155973
202,2018-03-01,Bitcoin_price_Z,-0.2745770086612065
203,2018-03-01,Ethereum_price_Z,0.19978192586810015
210,2018-04-01,Germany_inflation_Z,-0.27255671029651524
211,2018-04-01,Japan_inflation_Z,0.4630166135079651
212,2018-04-01,Turkey_inflation_Z,-0.7991700486247351
213,2018-04-01,USA_inflation_Z,0.13549260628458912
214,2018-04-01,Bitcoin_price_Z,-0.25983504562894666
215,2018-04-01,Ethereum_price_Z,0.05388172206699366
222,2018-05-01,Germany_inflation_Z,0.5693923038334358
223,2018-05-01,Japan_inflation_Z,0.6313862911472251
224,2018-05-01,Turkey_inflation_Z,-0.48991847067230176
225,2018-05-01,USA_inflation_Z,0.40895568422906614
226,2018-05-01,Bitcoin_price_Z,-0.35839895155725704
227,2018-05-01,Ethereum_price_Z,-0.11716858899830317
234,2018-06-01,Germany_inflation_Z,0.35303013279848355
235,2018-06-01,Japan_inflation_Z,0.6313862911472251
236,2018-06-01,Turkey_inflation_Z,0.28182573719265647
237,2018-06-01,USA_inflation_Z,0.4659784935574435
238,2018-06-01,Bitcoin_price_Z,-0.2951146485254997
239,2018-06-01,Ethereum_price_Z,0.1348501628476366
246,2018-07-01,Germany_inflation_Z,0.345249764255966
247,2018-07-01,Japan_inflation_Z,0.9681256464257452
248,2018-07-01,Turkey_inflation_Z,0.39239257869882466
249,2018-07-01,USA_inflation_Z,0.5290086820414183
250,2018-07-01,Bitcoin_price_Z,-0.4249318771835611
251,2018-07-01,Ethereum_price_Z,-0.06173140390679997
258,2018-08-01,Germany_inflation_Z,0.34331377885850956
259,2018-08-01,Japan_inflation_Z,1.6416043569827856
260,2018-08-01,Turkey_inflation_Z,0.8803657997290749
261,2018-08-01,USA_inflation_Z,0.32663251989415437
262,2018-08-01,Bitcoin_price_Z,-0.41725492674700393
263,2018-08-01,Ethereum_price_Z,-0.14040726535528517
270,2018-09-01,Germany_inflation_Z,0.4457035145885195
271,2018-09-01,Japan_inflation_Z,1.4732346793435254
272,2018-09-01,Turkey_inflation_Z,2.4587491115916853
273,2018-09-01,USA_inflation_Z,-0.01468944734123788
274,2018-09-01,Bitcoin_price_Z,-0.40239866868598606
275,2018-09-01,Ethereum_price_Z,-0.2978528531628775
282,2018-10-01,Germany_inflation_Z,0.867873682806545
283,2018-10-01,Japan_inflation_Z,1.8099740346220454
284,2018-10-01,Turkey_inflation_Z,2.6306853049536514
285,2018-10-01,USA_inflation_Z,0.18377638066854482
286,2018-10-01,Bitcoin_price_Z,-0.43637201965302286
287,2018-10-01,Ethereum_price_Z,-0.44798266672442844
294,2018-11-01,Germany_inflation_Z,0.562898663825697
295,2018-11-01,Japan_inflation_Z,0.7997559687864852
296,2018-11-01,Turkey_inflation_Z,1.7675436872876857
297,2018-11-01,USA_inflation_Z,-0.09583150806340257
298,2018-11-01,Bitcoin_price_Z,-0.432792280007603
299,2018-11-01,Ethereum_price_Z,-0.45541221661970843
306,2018-12-01,Germany_inflation_Z,0.03004412847361706
307,2018-12-01,Japan_inflation_Z,-0.04209241940981505
308,2018-12-01,Turkey_inflation_Z,1.4536445410367245
309,2018-12-01,USA_inflation_Z,-0.3112289131199916
310,2018-12-01,Bitcoin_price_Z,-0.5297899087858233
311,2018-12-01,Ethereum_price_Z,-0.5223179871544615
318,2019-01-01,Germany_inflation_Z,-0.1702023301382352
319,2019-01-01,Japan_inflation_Z,-0.21046209704907506
320,2019-01-01,Turkey_inflation_Z,1.4660332897627495
321,2019-01-01,USA_inflation_Z,-0.6013907427584538
322,2019-01-01,Bitcoin_price_Z,-0.6344103227965632
323,2019-01-01,Ethereum_price_Z,-0.5831765819321835
330,2019-02-01,Germany_inflation_Z,-0.06978500675837353
331,2019-02-01,Japan_inflation_Z,-0.21046209704907506
332,2019-02-01,Turkey_inflation_Z,1.303463734048587
333,2019-02-01,USA_inflation_Z,-0.6265326471776519
334,2019-02-01,Bitcoin_price_Z,-0.6389176415611286
335,2019-02-01,Ethereum_price_Z,-0.5628619397606333
342,2019-03-01,Germany_inflation_Z,-0.28718213180214835
343,2019-03-01,Japan_inflation_Z,0.29464693586870505
344,2019-03-01,Turkey_inflation_Z,1.3132998952629598
345,2019-03-01,USA_inflation_Z,-0.3497388732136543
346,2019-03-01,Bitcoin_price_Z,-0.6488588909736187
347,2019-03-01,Ethereum_price_Z,-0.5702346018312939
354,2019-04-01,Germany_inflation_Z,0.5415246136434841
355,2019-04-01,Japan_inflation_Z,0.9681256464257452
356,2019-04-01,Turkey_inflation_Z,1.2631037742704958
357,2019-04-01,USA_inflation_Z,-0.24147750941604243
358,2019-04-01,Bitcoin_price_Z,-0.6196793217698824
359,2019-04-01,Ethereum_price_Z,-0.5497492961858856
366,2019-05-01,Germany_inflation_Z,-0.09397678886936912
367,2019-05-01,Japan_inflation_Z,0.6313862911472251
368,2019-05-01,Turkey_inflation_Z,1.074650838186067
369,2019-05-01,USA_inflation_Z,-0.4081836957212399
370,2019-05-01,Bitcoin_price_Z,-0.5253696412420327
371,2019-05-01,Ethereum_price_Z,-0.5091484557550947
378,2019-06-01,Germany_inflation_Z,0.11057019292200197
379,2019-06-01,Japan_inflation_Z,0.6313862911472251
380,2019-06-01,Turkey_inflation_Z,0.3616709605613733
381,2019-06-01,USA_inflation_Z,-0.5227717651132132
382,2019-06-01,Bitcoin_price_Z,-0.3599468512274058
383,2019-06-01,Ethereum_price_Z,-0.43014264492381754
390,2019-07-01,Germany_inflation_Z,0.20648343073965741
391,2019-07-01,Japan_inflation_Z,0.29464693586870505
392,2019-07-01,Turkey_inflation_Z,0.5825162560023642
393,2019-07-01,USA_inflation_Z,-0.39101525121479264
394,2019-07-01,Bitcoin_price_Z,-0.18854622164097562
395,2019-07-01,Ethereum_price_Z,-0.3640048600214249
402,2019-08-01,Germany_inflation_Z,-0.10285746565936212
403,2019-08-01,Japan_inflation_Z,-0.04209241940981505
404,2019-08-01,Turkey_inflation_Z,0.19204901787523793
405,2019-08-01,USA_inflation_Z,-0.4408827230507485
406,2019-08-01,Bitcoin_price_Z,-0.12066400209266115
407,2019-08-01,Ethereum_price_Z,-0.40029929212853527
414,2019-09-01,Germany_inflation_Z,-0.3104525262862415
415,2019-09-01,Japan_inflation_Z,-0.21046209704907506
416,2019-09-01,Turkey_inflation_Z,-1.1775126152399262
417,2019-09-01,USA_inflation_Z,-0.47198673502916133
