,Unnamed: 0,LOCATION,TIME,USA_unemployment_rate,index,time_close,BTC_closing_price,yfit,xfit
0,0.0,USA,2015-09-01,5.0,4.0,2015-08-31 00:00:00+00:00,162.85666666666663,,
1,1.0,USA,2015-10-01,5.0,5.0,2015-09-30 00:00:00+00:00,154.57666666666668,,
2,2.0,USA,2015-11-01,5.1,6.0,2015-10-31 00:00:00+00:00,172.75,,
3,3.0,USA,2015-12-01,5.0,7.0,2015-11-30 00:00:00+00:00,230.23666666666668,,
4,4.0,USA,2016-01-01,4.8,8.0,2015-12-31 00:00:00+00:00,290.2266666666667,,
5,5.0,USA,2016-02-01,4.9,9.0,2016-01-31 00:00:00+00:00,292.62333333333333,,
6,6.0,USA,2016-03-01,5.0,10.0,2016-02-29 00:00:00+00:00,274.18333333333334,,
7,7.0,USA,2016-04-01,5.1,11.0,2016-03-31 00:00:00+00:00,289.38000000000005,,
8,8.0,USA,2016-05-01,4.8,12.0,2016-04-30 00:00:00+00:00,309.3433333333333,,
9,9.0,USA,2016-06-01,4.9,13.0,2016-05-31 00:00:00+00:00,314.16333333333336,,
10,10.0,USA,2016-07-01,4.8,14.0,2016-06-30 00:00:00+00:00,419.3966666666667,,
11,11.0,USA,2016-08-01,4.9,15.0,2016-07-31 00:00:00+00:00,515.3733333333333,,
12,12.0,USA,2016-09-01,5.0,16.0,2016-08-31 00:00:00+00:00,449.8475,,
13,13.0,USA,2016-10-01,4.9,17.0,2016-09-30 00:00:00+00:00,472.71333333333337,,
14,14.0,USA,2016-11-01,4.7,18.0,2016-10-31 00:00:00+00:00,532.6866666666666,,
15,15.0,USA,2016-12-01,4.7,19.0,2016-11-30 00:00:00+00:00,598.0533333333334,,
16,16.0,USA,2017-01-01,4.7,20.0,2016-12-31 00:00:00+00:00,686.7433333333332,,
17,17.0,USA,2017-02-01,4.6,21.0,2017-01-31 00:00:00+00:00,738.9866666666667,,
18,18.0,USA,2017-03-01,4.4,22.0,2017-02-28 00:00:00+00:00,887.9966666666666,,
19,19.0,USA,2017-04-01,4.5,23.0,2017-03-31 00:00:00+00:00,883.1233333333333,,
20,20.0,USA,2017-05-01,4.4,24.0,2017-04-30 00:00:00+00:00,983.2333333333332,,
21,21.0,USA,2017-06-01,4.3,25.0,2017-05-31 00:00:00+00:00,1514.8366666666668,,
22,22.0,USA,2017-07-01,4.3,26.0,2017-06-30 00:00:00+00:00,2067.9933333333333,,
23,23.0,USA,2017-08-01,4.4,27.0,2017-07-31 00:00:00+00:00,1900.4016666666666,,
24,24.0,USA,2017-09-01,4.2,28.0,2017-08-31 00:00:00+00:00,3106.5056666666665,,
25,25.0,USA,2017-10-01,4.1,29.0,2017-09-30 00:00:00+00:00,3057.8033333333333,,
26,26.0,USA,2017-11-01,4.2,30.0,2017-10-31 00:00:00+00:00,4017.106666666666,,
27,27.0,USA,2017-12-01,4.1,31.0,2017-11-30 00:00:00+00:00,5717.056666666666,,
28,28.0,USA,2018-01-01,4.0,32.0,2017-12-31 00:00:00+00:00,10770.063333333334,,
29,29.0,USA,2018-02-01,4.1,33.0,2018-01-31 00:00:00+00:00,9876.883333333333,,
30,30.0,USA,2018-03-01,4.0,34.0,2018-02-28 00:00:00+00:00,6633.079999999999,,
31,31.0,USA,2018-04-01,4.0,35.0,2018-03-31 00:00:00+00:00,6785.493333333333,,
32,32.0,USA,2018-05-01,3.8,36.0,2018-04-30 00:00:00+00:00,5766.466666666667,,
33,33.0,USA,2018-06-01,4.0,37.0,2018-05-31 00:00:00+00:00,6420.746666666668,,
34,34.0,USA,2018-07-01,3.8,38.0,2018-06-30 00:00:00+00:00,5078.5999999999985,,
35,35.0,USA,2018-08-01,3.8,39.0,2018-07-31 00:00:00+00:00,5157.97,,
36,36.0,USA,2018-09-01,3.7,40.0,2018-08-31 00:00:00+00:00,5311.565000000001,,
37,37.0,USA,2018-10-01,3.8,41.0,2018-09-30 00:00:00+00:00,4960.323333333334,,
38,38.0,USA,2018-11-01,3.8,42.0,2018-10-31 00:00:00+00:00,4997.333333333333,,
39,39.0,USA,2018-12-01,3.9,43.0,2018-11-30 00:00:00+00:00,3994.5,,
40,40.0,USA,2019-01-01,4.0,44.0,2018-12-31 00:00:00+00:00,2912.856666666666,,
41,41.0,USA,2019-02-01,3.8,45.0,2019-01-31 00:00:00+00:00,2866.2566666666667,,
42,42.0,USA,2019-03-01,3.8,46.0,2019-02-28 00:00:00+00:00,2763.476666666667,,
43,43.0,USA,2019-04-01,3.7,47.0,2019-03-31 00:00:00+00:00,3065.1566666666668,,
44,44.0,USA,2019-05-01,3.7,48.0,2019-04-30 00:00:00+00:00,4040.2,,
45,45.0,USA,2019-06-01,3.6,49.0,2019-05-31 00:00:00+00:00,5750.463333333332,,
46,46.0,USA,2019-07-01,3.6,50.0,2019-06-30 00:00:00+00:00,7522.53,,
47,47.0,USA,2019-08-01,3.7,51.0,2019-07-31 00:00:00+00:00,8224.346666666666,,
48,48.0,USA,2019-09-01,3.5,52.0,2019-08-31 00:00:00+00:00,8805.886666666667,,
49,49.0,USA,2019-10-01,3.6,53.0,2019-09-30 00:00:00+00:00,7895.406666666666,,
50,50.0,USA,2019-11-01,3.6,54.0,2019-10-31 00:00:00+00:00,6597.956666666666,,
51,51.0,USA,2019-12-01,3.6,55.0,2019-11-30 00:00:00+00:00,6469.213333333332,,
52,52.0,USA,2020-01-01,3.5,56.0,2019-12-31 00:00:00+00:00,5474.086666666666,,
53,53.0,USA,2020-02-01,3.5,57.0,2020-01-31 00:00:00+00:00,6082.556666666666,,
54,54.0,USA,2020-03-01,4.4,58.0,2020-02-29 00:00:00+00:00,7530.593333333332,,
55,55.0,USA,2020-04-01,14.8,59.0,2020-03-31 00:00:00+00:00,5720.506666666667,,
56,56.0,USA,2020-05-01,13.3,60.0,2020-04-30 00:00:00+00:00,5614.0633333333335,,
57,57.0,USA,2020-06-01,11.1,61.0,2020-05-31 00:00:00+00:00,7320.54,,
58,58.0,USA,2020-07-01,10.2,62.0,2020-06-30 00:00:00+00:00,7693.09,,
59,59.0,USA,2020-08-01,8.4,63.0,2020-07-31 00:00:00+00:00,7717.5375,,
60,60.0,USA,2020-09-01,7.8,64.0,2020-08-31 00:00:00+00:00,8968.646666666667,,
61,61.0,USA,2020-10-01,6.9,65.0,2020-09-30 00:00:00+00:00,8304.48,,
62,62.0,USA,2020-11-01,6.7,66.0,2020-10-31 00:00:00+00:00,9331.256666666666,,
63,63.0,USA,2020-12-01,6.7,67.0,2020-11-30 00:00:00+00:00,12850.81,,
64,64.0,USA,2021-01-01,6.3,68.0,2020-12-31 00:00:00+00:00,16988.72333333333,,
65,65.0,USA,2021-02-01,6.2,69.0,2021-01-31 00:00:00+00:00,25970.106666666667,,
66,66.0,USA,2021-03-01,6.0,70.0,2021-02-28 00:00:00+00:00,32549.94333333333,,
67,67.0,USA,2021-04-01,6.1,71.0,2021-03-31 00:00:00+00:00,39925.35666666667,,
68,68.0,USA,2021-05-01,5.8,72.0,2021-04-30 00:00:00+00:00,41446.51666666666,,
69,69.0,USA,2021-06-01,5.9,73.0,2021-05-31 00:00:00+00:00,33007.263333333336,,
70,70.0,USA,2021-07-01,5.4,74.0,2021-06-30 00:00:00+00:00,25347.84333333333,,
71,71.0,USA,2021-08-01,5.2,75.0,2021-07-31 00:00:00+00:00,24324.596666666668,,
72,72.0,USA,2021-09-01,4.8,76.0,2021-08-31 00:00:00+00:00,32926.090000000004,,
73,73.0,USA,2021-10-01,4.6,77.0,2021-09-30 00:00:00+00:00,33857.72,,
74,74.0,USA,2021-11-01,4.2,78.0,2021-10-31 00:00:00+00:00,40583.98666666666,,
0,,,,,,,,5.015631146402363,154.57666666666668
1,,,,,,,,5.015631146402363,195.90993993993996
2,,,,,,,,5.015631146402363,237.2432132132132
3,,,,,,,,5.015631146402363,278.5764864864865
4,,,,,,,,5.015631146402363,319.90975975975977
5,,,,,,,,5.015631146402363,361.24303303303304
6,,,,,,,,5.015631146402363,402.57630630630626
7,,,,,,,,5.015631146402363,443.9095795795796
8,,,,,,,,5.015631146402364,485.2428528528528
9,,,,,,,,5.015631146402365,526.5761261261262
10,,,,,,,,5.015631146402366,567.9093993993994
11,,,,,,,,5.015631146402368,609.2426726726727
12,,,,,,,,5.015631146402373,650.5759459459459
13,,,,,,,,5.01563114640238,691.9092192192193
14,,,,,,,,5.015631146402391,733.2424924924925
15,,,,,,,,5.015631146402408,774.5757657657658
16,,,,,,,,5.015631146402435,815.909039039039
17,,,,,,,,5.015631146402476,857.2423123123123
18,,,,,,,,5.0156311464025345,898.5755855855856
19,,,,,,,,5.01563114640262,939.9088588588588
20,,,,,,,,5.0156311464027405,981.2421321321322
21,,,,,,,,5.015631146402909,1022.5754054054054
22,,,,,,,,5.015631146403141,1063.9086786786786
23,,,,,,,,5.015631146403457,1105.241951951952
24,,,,,,,,5.015631146403883,1146.575225225225
25,,,,,,,,5.0156311464044485,1187.9084984984984
26,,,,,,,,5.015631146405195,1229.2417717717717
27,,,,,,,,5.015631146406167,1270.5750450450448
28,,,,,,,,5.015631146407427,1311.9083183183182
29,,,,,,,,5.015631146409042,1353.2415915915915
30,,,,,,,,5.0156311464111,1394.5748648648648
31,,,,,,,,5.0156311464137024,1435.908138138138
32,,,,,,,,5.015631146416969,1477.2414114114113
33,,,,,,,,5.015631146421045,1518.5746846846846
34,,,,,,,,5.0156311464261005,1559.9079579579577
35,,,,,,,,5.015631146432333,1601.241231231231
36,,,,,,,,5.015631146439975,1642.5745045045044
37,,,,,,,,5.015631146449298,1683.9077777777777
38,,,,,,,,5.015631146460614,1725.2410510510508
39,,,,,,,,5.015631146474287,1766.5743243243242
40,,,,,,,,5.0156311464907315,1807.9075975975975
41,,,,,,,,5.015631146510426,1849.2408708708706
42,,,,,,,,5.015631146533917,1890.574144144144
43,,,,,,,,5.015631146561827,1931.9074174174173
44,,,,,,,,5.0156311465948615,1973.2406906906906
45,,,,,,,,5.015631146633823,2014.5739639639637
46,,,,,,,,5.015631146679618,2055.907237237237
47,,,,,,,,5.0156311467332655,2097.2405105105104
48,,,,,,,,5.015631146795914,2138.5737837837837
49,,,,,,,,5.015631146868852,2179.907057057057
50,,,,,,,,5.0156311469535195,2221.2403303303304
51,,,,,,,,5.0156311470515265,2262.5736036036037
52,,,,,,,,5.015631147164665,2303.906876876877
53,,,,,,,,5.01563114729493,2345.2401501501504
54,,,,,,,,5.015631147444534,2386.5734234234233
55,,,,,,,,5.015631147615929,2427.9066966966966
56,,,,,,,,5.015631147811827,2469.23996996997
57,,,,,,,,5.015631148035219,2510.5732432432433
58,,,,,,,,5.015631148289403,2551.9065165165166
59,,,,,,,,5.015631148578006,2593.23978978979
60,,,,,,,,5.015631148905011,2634.5730630630633
61,,,,,,,,5.015631149274788,2675.906336336336
62,,,,,,,,5.01563114969212,2717.2396096096095
63,,,,,,,,5.015631150162236,2758.572882882883
64,,,,,,,,5.015631150690848,2799.906156156156
65,,,,,,,,5.01563115128418,2841.2394294294295
66,,,,,,,,5.0156311519490115,2882.572702702703
67,,,,,,,,5.015631152692714,2923.905975975976
68,,,,,,,,5.0156311535232945,2965.239249249249
69,,,,,,,,5.015631154449438,3006.5725225225224
70,,,,,,,,5.015631155480554,3047.9057957957957
71,,,,,,,,5.015631156626826,3089.239069069069
72,,,,,,,,5.0156311578992625,3130.5723423423424
73,,,,,,,,5.015631159309751,3171.9056156156157
74,,,,,,,,5.015631160871115,3213.238888888889
75,,,,,,,,5.0156311625971695,3254.572162162162
76,,,,,,,,5.015631164502788,3295.9054354354353
77,,,,,,,,5.015631166603967,3337.2387087087086
78,,,,,,,,5.0156311689178885,3378.571981981982
79,,,,,,,,5.015631171462999,3419.9052552552553
80,,,,,,,,5.015631174259078,3461.2385285285286
81,,,,,,,,5.015631177327319,3502.571801801802
82,,,,,,,,5.015631180690407,3543.905075075075
83,,,,,,,,5.015631184372608,3585.238348348348
84,,,,,,,,5.015631188399853,3626.5716216216215
85,,,,,,,,5.015631192799833,3667.904894894895
86,,,,,,,,5.015631197602092,3709.238168168168
87,,,,,,,,5.015631202838129,3750.5714414414415
88,,,,,,,,5.015631208541502,3791.904714714715
89,,,,,,,,5.015631214747933,3833.2379879879877
90,,,,,,,,5.015631221495422,3874.571261261261
91,,,,,,,,5.015631228824364,3915.9045345345344
92,,,,,,,,5.015631236777669,3957.2378078078077
93,,,,,,,,5.01563124540089,3998.571081081081
94,,,,,,,,5.015631254742346,4039.9043543543544
95,,,,,,,,5.015631264853269,4081.2376276276277
96,,,,,,,,5.015631275787932,4122.570900900901
97,,,,,,,,5.0156312876038,4163.904174174174
98,,,,,,,,5.015631300361683,4205.237447447447
99,,,,,,,,5.0156313141258835,4246.570720720721
100,,,,,,,,5.015631328964363,4287.903993993994
101,,,,,,,,5.0156313449489085,4329.237267267267
102,,,,,,,,5.0156313621553,4370.570540540541
103,,,,,,,,5.015631380663495,4411.903813813814
104,,,,,,,,5.015631400557805,4453.237087087087
105,,,,,,,,5.015631421927089,4494.570360360361
106,,,,,,,,5.015631444864949,4535.903633633634
107,,,,,,,,5.015631469469933,4577.236906906906
108,,,,,,,,5.015631495845739,4618.57018018018
109,,,,,,,,5.015631524101434,4659.903453453453
110,,,,,,,,5.015631554351674,4701.236726726726
111,,,,,,,,5.015631586716932,4742.57
112,,,,,,,,5.015631621323732,4783.903273273273
113,,,,,,,,5.015631658304895,4825.236546546546
114,,,,,,,,5.0156316977997815,4866.56981981982
115,,,,,,,,5.0156317399545545,4907.903093093093
116,,,,,,,,5.015631784922439,4949.236366366366
117,,,,,,,,5.015631832863994,4990.56963963964
118,,,,,,,,5.0156318839473935,5031.902912912913
119,,,,,,,,5.01563193834871,5073.236186186186
120,,,,,,,,5.0156319962522105,5114.56945945946
121,,,,,,,,5.015632057850661,5155.902732732732
122,,,,,,,,5.0156321233456325,5197.2360060060055
123,,,,,,,,5.015632192947824,5238.569279279279
124,,,,,,,,5.015632266877388,5279.902552552552
125,,,,,,,,5.015632345364266,5321.2358258258255
126,,,,,,,,5.015632428648535,5362.569099099099
127,,,,,,,,5.015632516980759,5403.902372372372
128,,,,,,,,5.015632610622349,5445.2356456456455
129,,,,,,,,5.015632709845941,5486.568918918919
130,,,,,,,,5.0156328149357705,5527.902192192192
131,,,,,,,,5.015632926188062,5569.2354654654655
132,,,,,,,,5.015633043911432,5610.568738738739
133,,,,,,,,5.015633168427295,5651.902012012012
134,,,,,,,,5.015633300070281,5693.2352852852855
135,,,,,,,,5.015633439188667,5734.568558558559
136,,,,,,,,5.015633586144811,5775.901831831831
137,,,,,,,,5.015633741315605,5817.235105105105
138,,,,,,,,5.015633905092925,5858.568378378378
139,,,,,,,,5.01563407788411,5899.901651651651
140,,,,,,,,5.015634260112433,5941.234924924925
141,,,,,,,,5.015634452217592,5982.568198198198
142,,,,,,,,5.015634654656212,6023.901471471471
143,,,,,,,,5.0156348679023575,6065.234744744745
144,,,,,,,,5.015635092448049,6106.568018018018
145,,,,,,,,5.015635328803798,6147.901291291291
146,,,,,,,,5.015635577499154,6189.234564564565
147,,,,,,,,5.015635839083255,6230.567837837838
148,,,,,,,,5.015636114125398,6271.901111111111
149,,,,,,,,5.0156364032156135,6313.234384384385
150,,,,,,,,5.015636706965258,6354.567657657657
151,,,,,,,,5.015637026007613,6395.90093093093
152,,,,,,,,5.015637360998499,6437.234204204204
153,,,,,,,,5.015637712616902,6478.567477477477
154,,,,,,,,5.0156380815656085,6519.90075075075
155,,,,,,,,5.015638468571854,6561.234024024024
156,,,,,,,,5.015638874387987,6602.567297297297
157,,,,,,,,5.015639299792139,6643.90057057057
158,,,,,,,,5.015639745588917,6685.233843843844
159,,,,,,,,5.015640212610093,6726.567117117117
160,,,,,,,,5.015640701715326,6767.90039039039
161,,,,,,,,5.015641213792876,6809.233663663664
162,,,,,,,,5.015641749760348,6850.566936936937
163,,,,,,,,5.015642310565436,6891.90021021021
164,,,,,,,,5.015642897186692,6933.233483483483
165,,,,,,,,5.015643510634298,6974.566756756756
166,,,,,,,,5.0156441519508554,7015.9000300300295
167,,,,,,,,5.015644822212188,7057.233303303303
168,,,,,,,,5.015645522528157,7098.566576576576
169,,,,,,,,5.015646254043491,7139.8998498498495
170,,,,,,,,5.015647017938629,7181.233123123123
171,,,,,,,,5.015647815430575,7222.566396396396
172,,,,,,,,5.015648647773768,7263.8996696696695
173,,,,,,,,5.015649516260968,7305.232942942943
174,,,,,,,,5.015650422224152,7346.566216216216
175,,,,,,,,5.015651367035423,7387.8994894894895
176,,,,,,,,5.015652352107938,7429.232762762763
177,,,,,,,,5.0156533788968485,7470.566036036036
178,,,,,,,,5.015654448900249,7511.899309309309
179,,,,,,,,5.015655563660149,7553.232582582582
180,,,,,,,,5.015656724763453,7594.565855855855
181,,,,,,,,5.015657933842953,7635.899129129129
182,,,,,,,,5.015659192578347,7677.232402402402
183,,,,,,,,5.015660502697252,7718.565675675675
184,,,,,,,,5.015661865976253,7759.898948948949
185,,,,,,,,5.015663284241949,7801.232222222222
186,,,,,,,,5.015664759372024,7842.565495495495
187,,,,,,,,5.01566629329633,7883.898768768769
188,,,,,,,,5.015667887997979,7925.232042042042
189,,,,,,,,5.015669545514458,7966.565315315315
190,,,,,,,,5.015671267938755,8007.898588588589
191,,,,,,,,5.015673057420494,8049.231861861862
192,,,,,,,,5.015674916167097,8090.565135135134
193,,,,,,,,5.015676846444946,8131.898408408408
194,,,,,,,,5.015678850580575,8173.231681681681
195,,,,,,,,5.01568093096186,8214.564954954954
196,,,,,,,,5.015683090039238,8255.898228228227
197,,,,,,,,5.015685330326935,8297.231501501501
198,,,,,,,,5.015687654404205,8338.564774774773
199,,,,,,,,5.01569006491659,8379.898048048048
200,,,,,,,,5.015692564577188,8421.23132132132
201,,,,,,,,5.015695156167947,8462.564594594593
202,,,,,,,,5.015697842540956,8503.897867867867
203,,,,,,,,5.01570062661977,8545.23114114114
204,,,,,,,,5.015703511400733,8586.564414414413
205,,,,,,,,5.015706499954325,8627.897687687686
206,,,,,,,,5.0157095954265225,8669.23096096096
207,,,,,,,,5.015712801040171,8710.564234234233
208,,,,,,,,5.015716120096372,8751.897507507507
209,,,,,,,,5.0157195559758865,8793.23078078078
210,,,,,,,,5.0157231121405506,8834.564054054053
211,,,,,,,,5.015726792134708,8875.897327327326
212,,,,,,,,5.015730599586653,8917.2306006006
213,,,,,,,,5.015734538210091,8958.563873873873
214,,,,,,,,5.015738611805612,8999.897147147145
215,,,,,,,,5.015742824262179,9041.23042042042
216,,,,,,,,5.015747179558625,9082.563693693692
217,,,,,,,,5.015751681765174,9123.896966966966
218,,,,,,,,5.015756335044965,9165.230240240238
219,,,,,,,,5.015761143655597,9206.563513513513
220,,,,,,,,5.015766111950687,9247.896786786785
221,,,,,,,,5.015771244381436,9289.23006006006
222,,,,,,,,5.015776545498214,9330.563333333332
223,,,,,,,,5.015782019952159,9371.896606606606
224,,,,,,,,5.01578767249678,9413.229879879878
225,,,,,,,,5.015793507989588,9454.563153153153
226,,,,,,,,5.015799531393725,9495.896426426425
227,,,,,,,,5.015805747779619,9537.2296996997
228,,,,,,,,5.015812162326639,9578.562972972972
229,,,,,,,,5.015818780324772,9619.896246246244
230,,,,,,,,5.0158256071763105,9661.229519519518
231,,,,,,,,5.015832648397551,9702.56279279279
232,,,,,,,,5.0158399096205,9743.896066066065
233,,,,,,,,5.015847396594604,9785.229339339337
234,,,,,,,,5.015855115188481,9826.562612612612
235,,,,,,,,5.015863071391664,9867.895885885884
236,,,,,,,,5.015871271316364,9909.229159159158
237,,,,,,,,5.015879721199236,9950.56243243243
238,,,,,,,,5.015888427403162,9991.895705705705
239,,,,,,,,5.01589739641904,10033.228978978977
240,,,,,,,,5.015906634867586,10074.562252252252
241,,,,,,,,5.015916149501151,10115.895525525524
242,,,,,,,,5.015925947205537,10157.228798798797
243,,,,,,,,5.0159360350018405,10198.56207207207
244,,,,,,,,5.015946420048284,10239.895345345343
245,,,,,,,,5.01595710964208,10281.228618618617
246,,,,,,,,5.015968111221286,10322.56189189189
247,,,,,,,,5.015979432366684,10363.895165165164
248,,,,,,,,5.015991080803655,10405.228438438437
249,,,,,,,,5.016003064404071,10446.56171171171
250,,,,,,,,5.016015391188196,10487.894984984983
251,,,,,,,,5.016028069326591,10529.228258258257
252,,,,,,,,5.01604110714203,10570.56153153153
253,,,,,,,,5.016054513111424,10611.894804804804
254,,,,,,,,5.0160682958677505,10653.228078078077
255,,,,,,,,5.01608246420199,10694.56135135135
256,,,,,,,,5.016097027065074,10735.894624624623
257,,,,,,,,5.016111993569837,10777.227897897896
258,,,,,,,,5.0161273729929725,10818.56117117117
259,,,,,,,,5.016143174777,10859.894444444442
260,,,,,,,,5.016159408532233,10901.227717717717
261,,,,,,,,5.016176084038757,10942.560990990989
262,,,,,,,,5.016193211248412,10983.894264264263
263,,,,,,,,5.016210800286775,11025.227537537536
264,,,,,,,,5.016228861455155,11066.56081081081
265,,,,,,,,5.016247405232585,11107.894084084082
266,,,,,,,,5.016266442277827,11149.227357357357
267,,,,,,,,5.016285983431365,11190.560630630629
268,,,,,,,,5.016306039717423,11231.893903903903
269,,,,,,,,5.016326622345968,11273.227177177176
270,,,,,,,,5.0163477427147205,11314.56045045045
